                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4501,                 0.2766,                      1,                 1.3901,             0.00011424,             0.00011424,             0.00011424
                      2,                 1.3812,                 0.3617,                      1,                  1.385,             0.00022396,             0.00022396,             0.00022396
                      3,                 1.3222,                0.32979,                      1,                  1.365,             0.00032166,             0.00032166,             0.00032166
                      4,                 1.3072,                0.39362,                      1,                 1.3547,             0.00040734,             0.00040734,             0.00040734
                      5,                 1.1902,                0.46809,                      1,                 1.3307,             0.00048101,             0.00048101,             0.00048101
                      6,                 1.1912,                0.44681,                      1,                 1.3221,             0.00053728,             0.00053728,             0.00053728
                      7,                 1.1393,                0.42553,                      1,                 1.3043,             0.00053728,             0.00053728,             0.00053728
                      8,                  1.101,                0.44681,                      1,                 1.2987,             0.00050194,             0.00050194,             0.00050194
                      9,                 1.0327,                0.43617,                      1,                 1.2885,              0.0004666,              0.0004666,              0.0004666
                     10,                 1.0366,                0.44681,                      1,                 1.2909,             0.00043126,             0.00043126,             0.00043126
                     11,                 1.0296,                0.42553,                      1,                 1.2936,             0.00039591,             0.00039591,             0.00039591
                     12,                0.96032,                0.43617,                      1,                 1.2931,             0.00036057,             0.00036057,             0.00036057
                     13,                  0.951,                0.44681,                      1,                 1.2893,             0.00032523,             0.00032523,             0.00032523
                     14,                0.97609,                0.45745,                      1,                 1.2806,             0.00028988,             0.00028988,             0.00028988
                     15,                0.99142,                0.47872,                      1,                 1.2744,             0.00025454,             0.00025454,             0.00025454
                     16,                0.90974,                0.46809,                      1,                 1.2686,              0.0002192,              0.0002192,              0.0002192
                     17,                0.92708,                0.46809,                      1,                 1.2752,             0.00018385,             0.00018385,             0.00018385
                     18,                0.93184,                0.45745,                      1,                 1.2758,             0.00014851,             0.00014851,             0.00014851
                     19,                0.89224,                0.45745,                      1,                 1.2741,             0.00011317,             0.00011317,             0.00011317
                     20,                0.92293,                0.43617,                      1,                 1.2858,             7.7826e-05,             7.7826e-05,             7.7826e-05
