                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.458,                0.25532,                      1,                  1.396,              0.0001071,              0.0001071,              0.0001071
                      2,                 1.3903,                0.29787,                      1,                 1.3924,             0.00021404,             0.00021404,             0.00021404
                      3,                 1.2987,                0.32979,                      1,                 1.3736,             0.00031343,             0.00031343,             0.00031343
                      4,                 1.2432,                 0.3617,                      1,                 1.3577,             0.00040529,             0.00040529,             0.00040529
                      5,                 1.1931,                0.38298,                      1,                  1.344,              0.0004896,              0.0004896,              0.0004896
                      6,                 1.1011,                0.42553,                      1,                 1.3187,             0.00056638,             0.00056638,             0.00056638
                      7,                 1.1203,                0.40426,                      1,                 1.3084,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.0724,                0.40426,                      1,                 1.3001,             0.00057263,             0.00057263,             0.00057263
                      9,                 1.0276,                0.41489,                      1,                 1.2943,             0.00054907,             0.00054907,             0.00054907
                     10,                 1.0011,                0.43617,                      1,                 1.2895,              0.0005255,              0.0005255,              0.0005255
                     11,                  1.004,                0.40426,                      1,                 1.2806,             0.00050194,             0.00050194,             0.00050194
                     12,                 1.0201,                0.45745,                      1,                 1.2814,             0.00047838,             0.00047838,             0.00047838
                     13,                0.92167,                0.43617,                      1,                 1.2838,             0.00045482,             0.00045482,             0.00045482
                     14,                0.91996,                0.44681,                      1,                 1.2745,             0.00043126,             0.00043126,             0.00043126
                     15,                0.84756,                0.46809,                      1,                 1.2751,             0.00040769,             0.00040769,             0.00040769
                     16,                 0.9021,                0.44681,                      1,                 1.2651,             0.00038413,             0.00038413,             0.00038413
                     17,                0.82522,                0.45745,                      1,                 1.2667,             0.00036057,             0.00036057,             0.00036057
                     18,                0.87069,                0.42553,                      1,                 1.2668,             0.00033701,             0.00033701,             0.00033701
                     19,                0.78907,                0.41489,                      1,                 1.2652,             0.00031345,             0.00031345,             0.00031345
                     20,                0.78451,                0.45745,                      1,                 1.2622,             0.00028988,             0.00028988,             0.00028988
                     21,                0.78441,                0.45745,                      1,                 1.2614,             0.00026632,             0.00026632,             0.00026632
                     22,                0.81036,                0.45745,                      1,                 1.2625,             0.00024276,             0.00024276,             0.00024276
                     23,                0.84587,                0.42553,                      1,                 1.2665,              0.0002192,              0.0002192,              0.0002192
                     24,                0.80771,                0.43617,                      1,                  1.261,             0.00019564,             0.00019564,             0.00019564
                     25,                0.72974,                0.45745,                      1,                 1.2578,             0.00017207,             0.00017207,             0.00017207
                     26,                0.78149,                0.46809,                      1,                  1.261,             0.00014851,             0.00014851,             0.00014851
                     27,                0.77853,                0.42553,                      1,                 1.2646,             0.00012495,             0.00012495,             0.00012495
                     28,                0.72677,                0.44681,                      1,                 1.2635,             0.00010139,             0.00010139,             0.00010139
                     29,                 0.7391,                0.43617,                      1,                 1.2619,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                 0.7553,                0.43617,                      1,                 1.2656,             5.4264e-05,             5.4264e-05,             5.4264e-05
